CASEID_NEW,highest_degree_received,education,head_of_household_indicator,household_size,housing_type,household_income,marital_status,msa_status,region_4,region_9,own_rent,members_lt_2,members_13_to_17,members_gt_18,members_2_to_5,members_6_to_12,employment_status,has_internet_access,bg_survey_date,age,children_in_hh,next_next_year,gender,race,hispanic,out_of_closet,political_affiliation,born_again,religion,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight_couples_coresident,glb_status,same_gender_partner,partner_latino,partners_race,partner_born_again,partners_religion,partners_relgion_same_as_age_16,partners_religion_at_16,partners_highest_education,partners_mothers_highest_education,partners_political_affiliation,religion_same_as_age_16,religion_at_16,mothers_highest_education,most_time_spend_living_in,relatives_seen_per_month,gender_attraction,has_domestic_partnership,has_civil_union,no_domestic_partnership_or_civil_union,age_when_met,age_when_relationship_started,age_when_moved_in_together,age_married,age_when_domestic_partnership,who_earned_higher_income,attended_same_high_school,attended_same_college,grew_up_in_same_town,knew_parents_first,met_at_work,met_at_school,met_at_church,met_via_personal_ad,met_on_vacation,met_at_bar,mat_at social_club,met_at_private_party,met_at_other,met_at_other_text,met_using_internet,intro_by_family,intro_by_friend,intro_by_coworker,intro_by_classmates,intro_by_neighbor,intro_by_self,intro_by_other,intro_by_other_text,met_online,intro_summary_codes,how_met_online,same_gender_partner2,partner_gender,partner_gender2,age_difference,zip_pct_white,zip_pct_black,zip_pct_hispanic,zip_median_income,zip_pct_foreign_born,zip_rural,HOW_LONG_AGO_FIRST_MET_CAT,highest_earning_gender,same_religion,target_survey_dt,survey_date,marriage_count_combined,time_since_met,time_since_romantic,time_since_cohab,time_since_first_relationship,broke_up,acquainted_before_dated,lived_together_before_married,time_dating_until_married,time_met_until_married,time_met_until_dating,been_divorced,currently_married,living_together,income,couple_religion
34341,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$85,000 to $99,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2009-05-01,35.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,"other non-christian, please specify",4924,4924,4924,9149,12221,9021,9021,2575.498291,1,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify","no, has changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",bachelor's degree,master's degree,independent,"no, i have changed religions",none,associate degree,united states,0,mostly opposite,,,,18,20.0,22,23, ,i earned more,different high school,attended same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,6,,different sex couple,,male,0,80%-91.99%,1%-2.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,16-20,female,unknown,2009-02-01,2011-04-01,1.0,18.161643835616438,16.161643835616438,14.161643835616438,16.161643835616438,0,1.0,1.0,3.0,5.0,2.0,0,1,1,92499.5,other same
38895,"some college, no degree",some college,1,1,a one-family house detached from any other house,"$12,500 to $14,999",divorced,metro,west,pacific,rented for cash,0,0,1,0,0,not working - retired,1,2009-08-01,90.0,1.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,other christian,1762,1762,1762,2250,3005,2134,2134, ,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify","yes, the same",,bachelor's degree,"some college, no degree",no preference,"no, i have changed religions",catholic,12th grade no diploma,united states,0,both genders equally,no,no,have neither dp nor cu,70,70.0, , , ,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, an internet dating or matchmaking site (like eharmony or match.com)",no,no,no,no,no,yes,no,0,met offline,1,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,male,37,92% and higher,<1%,2%-3.99%,$65k+,2%-4.99%,non rural,16-20,female,false,2009-02-01,2011-04-01,0.0,21.161643835616438,21.161643835616438,,21.161643835616438,0,0.0,,,,0.0,1,0,0,13749.5,other different
43381,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$150,000 to $174,999",married,metro,northeast,new england,owned or being bought by you or someone in your household,0,1,2,0,1,working - as a paid employee,1,2009-04-01,39.0,4.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,4324,4324,4324,6488,8666,6938,6938,2876.75708,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,hs graduate or ged,hs graduate or ged,democrat,"yes, the same",,master's degree,united states,0,only same gender,no,no,have neither dp nor cu,25,27.0,28,34, ,i earned more,different high school,,no,no,no,no,no,no,yes,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,, ,,same-sex couple,,male,7,55%-79.99%,3%-19.99%,4%-19.99%,$42000-$64999,12%+,non rural,11-15,male,true,2009-02-01,2011-04-01,1.0,15.161643835616438,13.161643835616438,12.161643835616438,13.161643835616438,0,1.0,1.0,7.0,9.0,2.0,0,1,1,162499.5,both catholic
43381,masters degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$175,000 or more",married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,3,0,1,working - as a paid employee,1,2011-07-01,42.0,4.0,2013,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,4324,4324,4324,6488,8666,6938,6938,2876.75708,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,hs graduate or ged,hs graduate or ged,democrat,"yes, the same",,master's degree,united states,0,only same gender,no,no,have neither dp nor cu,25,27.0,28,34, ,i earned more,different high school,,no,no,no,no,no,no,yes,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,, ,,same-sex couple,,male,7,55%-79.99%,3%-19.99%,4%-19.99%,$42000-$64999,12%+,non rural,11-15,male,true,2011-04-01,2013-03-01,1.0,17.07945205479452,15.07945205479452,14.07945205479452,15.07945205479452,0,1.0,1.0,7.0,9.0,2.0,0,1,1,175000.0,both catholic
44486,"some college, no degree",some college,1,2,a building with 2 or more apartments,"$125,000 to $149,999",living with partner,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2009-04-01,49.0,2.0,2011,female,"black, non-hispanic","no, i am not","yes, both",democrat,no,"other non-christian, please specify",3581,3581,3581,4061,5425,6069,6069,860.9337158,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,buddhist,"no, has changed religions",none,"some college, no degree",bachelor's degree,democrat,"no, i have changed religions",catholic,"some college, no degree",united states,2,only same gender,yes,yes,have either dp or cu,44,44.0,45,45,48,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, a different kind of internet service",no,no,no,no,no,no,yes,1,met online,2,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,female,1,<55%,20% or more,20%+,$34000-$41999,12%+,non rural,3-5,male,unknown,2009-02-01,2011-04-01,,6.161643835616438,6.161643835616438,5.161643835616438,6.161643835616438,0,0.0,0.0,1.0,1.0,0.0,0,0,1,137499.5,other different
44486,"some college, no degree",some college,1,3,a building with 2 or more apartments,"$125,000 to $149,999",living with partner,metro,west,pacific,rented for cash,0,0,3,0,0,working - as a paid employee,1,2011-07-01,51.0,3.0,2013,female,"black, non-hispanic","no, i am not","yes, both",democrat,no,"other non-christian, please specify",3581,3581,3581,4061,5425,6069,6069,860.9337158,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,buddhist,"no, has changed religions",none,"some college, no degree",bachelor's degree,democrat,"no, i have changed religions",catholic,"some college, no degree",united states,2,only same gender,yes,yes,have either dp or cu,44,44.0,45,45,48,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, a different kind of internet service",no,no,no,no,no,no,yes,1,met online,2,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,female,1,<55%,20% or more,20%+,$34000-$41999,12%+,non rural,3-5,male,unknown,2011-04-01,2013-03-01,,8.07945205479452,8.07945205479452,7.079452054794521,8.07945205479452,1,0.0,0.0,1.0,1.0,0.0,0,0,1,137499.5,other different
46746,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$75,000 to $84,999",living with partner,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2009-04-01,76.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,none,2404,2404,2404,2482,3315,2105,2105,1599.381226,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,associate degree,hs graduate or ged,democrat,"no, i have changed religions",other christian,bachelor's degree,united states,0,only same gender,no,no,have neither dp nor cu,31,31.0,36,31, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,13,80%-91.99%,<1%,4%-19.99%,$65k+,5%-11.99%,non rural,31+,male,false,2009-02-01,2011-04-01,,45.16164383561644,45.16164383561644,40.16164383561644,45.16164383561644,0,0.0,0.0,0.0,0.0,0.0,0,0,1,79999.5,none/catholic
46746,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$50,000 to $59,999",married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2011-07-01,78.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,none,2404,2404,2404,2482,3315,2105,2105,1599.381226,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,associate degree,hs graduate or ged,democrat,"no, i have changed religions",other christian,bachelor's degree,united states,0,only same gender,no,no,have neither dp nor cu,31,31.0,36,31, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,13,80%-91.99%,<1%,4%-19.99%,$65k+,5%-11.99%,non rural,31+,male,false,2011-04-01,2013-03-01,1.0,47.07945205479452,47.07945205479452,42.07945205479452,47.07945205479452,0,0.0,0.0,0.0,0.0,0.0,0,1,1,54999.5,none/catholic
48225,bachelors degree,bachelor's degree or higher,0,2,a one-family house detached from any other house,"$85,000 to $99,999",never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,1,1,0,0,working - as a paid employee,1,2009-04-01,24.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, relatives",republican,no,catholic,52750,52750,52750,52026,69387, , , ,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,bachelor's degree,bachelor's degree,republican,"yes, the same",,bachelor's degree,united states,0,opposite gender only,no,no,have neither dp nor cu,9,22.0, , , ,i earned more,different high school,did not attend same college or university,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,female,0,92% and higher,1%-2.99%,<2%,$65k+,2%-4.99%,non rural,11-15,male,true,2009-02-01,2011-04-01,0.0,15.161643835616438,2.1616438356164385,,2.610958904109589,0,1.0,,,,13.0,0,0,0,92499.5,both catholic
48225,masters degree,bachelor's degree or higher,0,4,a one-family house detached from any other house,"$35,000 to $39,999",never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,4,0,0,working - as a paid employee,1,2011-06-01,26.0,4.0,2013,male,"white, non-hispanic","no, i am not","yes, relatives",republican,no,catholic,52750,52750,52750,52026,69387, , , ,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,bachelor's degree,bachelor's degree,republican,"yes, the same",,bachelor's degree,united states,0,opposite gender only,no,no,have neither dp nor cu,9,22.0, , , ,i earned more,different high school,did not attend same college or university,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,female,0,92% and higher,1%-2.99%,<2%,$65k+,2%-4.99%,non rural,11-15,male,true,2011-04-01,2013-03-01,0.0,17.07945205479452,4.079452054794521,,4.528767123287671,0,1.0,,,,13.0,0,0,0,37499.5,both catholic
49731,9th grade,less than high school,1,8,a one-family house detached from any other house,"$20,000 to $24,999",married,non-metro,northeast,new england,owned or being bought by you or someone in your household,0,0,4,1,3,not working - retired,1,2009-05-01,75.0,8.0,2011,male,"white, non-hispanic","no, i am not","yes, both",republican,yes,pentecostal,48859,48859,48859,49807,66428, , ,25556.22266,0,,no (not latino or hispanic),white,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,"some college, no degree",hs graduate or ged,independent,"yes, the same",,7th or 8th grade,united states,3,opposite gender only,,,,20,27.0,27,27, ,i earned more,different high school,,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",yes,no,no,no,no,no,no,0,met offline,2,,different sex couple,,female,7,92% and higher,<1%,<2%,$42000-$64999,2%-4.99%,rural,31+,male,false,2009-02-01,2011-04-01,2.0,55.16164383561644,48.16164383561644,48.16164383561644,48.16164383561644,0,1.0,0.0,0.0,7.0,7.0,1,1,1,22499.5,other different
49731,9th grade,less than high school,1,2,a one-family house detached from any other house,"$30,000 to $34,999",married,non-metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2011-07-01,77.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, both",republican,yes,pentecostal,48859,48859,48859,49807,66428, , ,25556.22266,0,,no (not latino or hispanic),white,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,"some college, no degree",hs graduate or ged,independent,"yes, the same",,7th or 8th grade,united states,3,opposite gender only,,,,20,27.0,27,27, ,i earned more,different high school,,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",yes,no,no,no,no,no,no,0,met offline,2,,different sex couple,,female,7,92% and higher,<1%,<2%,$42000-$64999,2%-4.99%,rural,31+,male,false,2011-04-01,2013-03-01,2.0,57.07945205479452,50.07945205479452,50.07945205479452,50.07945205479452,0,1.0,0.0,0.0,7.0,7.0,1,1,1,32499.5,other different
51376,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$75,000 to $84,999",living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,38.0,2.0,2011,male,hispanic,"yes, cuban","yes, both",democrat,no,catholic,4731,4731,4731,8858,11832,6874,6874,891.7454224,1,"yes, we are a same-sex couple","yes, cuban",white,no,catholic,"yes, the same",,"some college, no degree",9th grade,democrat,"yes, the same",,9th grade,all others,10,only same gender,no,no,have neither dp nor cu,34,35.0,35, , ,i earned more,different high school,attended same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,4,<55%,1%-2.99%,20%+,<$34k,12%+,non rural,3-5,male,true,2009-02-01,2011-04-01,0.0,5.161643835616438,4.161643835616438,4.161643835616438,4.66027397260274,1,1.0,,,,1.0,0,0,1,79999.5,both catholic
